GPU available: True
Carga datasets
	Tiny Shakespeare
	Wikitext-2
Longitud corpus train: 896135 caracteres
Longitud corpus valid: 100448 caracteres
Longitud corpus test: 111570 caracteres
Tokenización del corpus de train, test y validation
Número total de tokens en el corpus: 265566
Tokenización del corpus de train, test y validation
Número total de tokens en el corpus: 30318
Preparando DataLoader
Se invoca el modelo
TRAIN
Iteracciones: 4146
  [Batch 100] Loss: 6.2514 | LR: 1.499995e-03
Iteracciones: 4146
  [Batch 100] Loss: 6.2345 | LR: 7.471585e-04
  [Batch 200] Loss: 6.2529 | LR: 7.443170e-04
  [Batch 300] Loss: 6.2362 | LR: 7.414756e-04
  [Batch 400] Loss: 6.2105 | LR: 7.386343e-04
  [Batch 500] Loss: 6.2345 | LR: 7.357932e-04
  [Batch 600] Loss: 6.2331 | LR: 7.329523e-04
  [Batch 700] Loss: 6.2297 | LR: 7.301116e-04
  [Batch 800] Loss: 6.1931 | LR: 7.272713e-04
  [Batch 900] Loss: 6.2539 | LR: 7.244312e-04
  [Batch 1000] Loss: 6.2175 | LR: 7.215915e-04
  [Batch 1100] Loss: 6.2044 | LR: 7.187522e-04
  [Batch 1200] Loss: 6.2118 | LR: 7.159134e-04
  [Batch 1300] Loss: 6.2374 | LR: 7.130751e-04
  [Batch 1400] Loss: 6.2350 | LR: 7.102373e-04
  [Batch 1500] Loss: 6.2225 | LR: 7.074000e-04
  [Batch 1600] Loss: 6.2355 | LR: 7.045634e-04
  [Batch 1700] Loss: 6.2321 | LR: 7.017274e-04
  [Batch 1800] Loss: 6.2164 | LR: 6.988921e-04
  [Batch 1900] Loss: 6.2284 | LR: 6.960576e-04
  [Batch 2000] Loss: 6.2175 | LR: 6.932238e-04
  [Batch 2100] Loss: 6.2264 | LR: 6.903909e-04
  [Batch 2200] Loss: 6.2136 | LR: 6.875588e-04
  [Batch 2300] Loss: 6.2032 | LR: 6.847276e-04
  [Batch 2400] Loss: 6.2342 | LR: 6.818973e-04
  [Batch 2500] Loss: 6.2228 | LR: 6.790680e-04
  [Batch 2600] Loss: 6.2060 | LR: 6.762397e-04
  [Batch 2700] Loss: 6.2481 | LR: 6.734125e-04
  [Batch 2800] Loss: 6.2248 | LR: 6.705864e-04
  [Batch 2900] Loss: 6.2138 | LR: 6.677614e-04
  [Batch 3000] Loss: 6.2224 | LR: 6.649376e-04
  [Batch 3100] Loss: 6.2140 | LR: 6.621150e-04
  [Batch 3200] Loss: 6.2105 | LR: 6.592937e-04
  [Batch 3300] Loss: 6.2365 | LR: 6.564737e-04
  [Batch 3400] Loss: 6.2327 | LR: 6.536550e-04
  [Batch 3500] Loss: 6.2253 | LR: 6.508378e-04
  [Batch 3600] Loss: 6.2343 | LR: 6.480219e-04
  [Batch 3700] Loss: 6.2203 | LR: 6.452075e-04
  [Batch 3800] Loss: 6.2468 | LR: 6.423946e-04
  [Batch 3900] Loss: 6.2190 | LR: 6.395832e-04
  [Batch 4000] Loss: 6.2224 | LR: 6.367735e-04
  [Batch 4100] Loss: 6.2234 | LR: 6.339653e-04
[Epoch 11] Train Loss: 6.2226 | Train PPL: 504.00 | Val PPL: 598.18
Early stopping en epoch: 11
Entrenamiento finalizado.
Best Train Loss: 6.2343 | Best Train PPL: 509.94
